run1_srcid,sector,input_file,source_file,source_member,aermod_srcid,facility_id,facility_name,region_cd,erptype,unit_id,rel_point_id,process_id,scc,poll,longitude,latitude,utm_e_m,utm_n_m,src_elev_m,ann_value,emis_gps,so2_ann_value_total,so2_emis_gps_total,so2_allocation_fraction,allocation_basis,stkhgt,stkhgt_m,stkdiam,stkdiam_m,stktemp,stktemp_k,stkvel,stkvel_mps,srcgroup,rank
Q0000510,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_156124013_166534212_242221114,4835311,GALVESTON BAY REFINERY,48167,3,156124013,166534212,242221114,20200102,SO2,-94.925561,29.368431,313101.0382340711,3250346.325821339,0.0,0.074204958624917,0.002134627286176309,645.6491,18.573154836210488,0.00011493078612657711,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000511,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_156124113_166534312_242221214,4835311,GALVESTON BAY REFINERY,48167,3,156124113,166534312,242221214,20200102,SO2,-94.925558,29.368342,313101.1668409358,3250336.4571275874,0.0,0.13604242414568116,0.0039134833579899,645.6491,18.573154836210488,0.00021070644123205804,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000512,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_156124213_166534412_242221314,4835311,GALVESTON BAY REFINERY,48167,3,156124213,166534412,242221314,20200102,SO2,-94.932217,29.373510999999997,312464.18117854686,3250920.0174202817,0.0,0.008244995402768556,0.00023718080957514545,645.6491,18.573154836210488,1.2770087347397457e-05,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0001356,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_31766113_30408512_11041014,4835311,GALVESTON BAY REFINERY,48167,2,31766113,30408512,11041014,40301021,SO2,-94.93985,29.378578000000005,311732.5253222168,3251493.8832201674,0.0,1.117196877075139,0.0321379996974322,645.6491,18.573154836210488,0.0017303468355723552,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,41.0,12.4968,40.9,12.46632,80.0,299.81666666666666,0.1,0.03048,FAC001,1
Q0001357,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_31766213_30406712_11040914,4835311,GALVESTON BAY REFINERY,48167,2,31766213,30406712,11040914,40301021,SO2,-94.937897,29.371181,311908.5002128838,3250670.919625779,0.0,0.3998822770342749,0.011503269264394553,645.6491,18.573154836210488,0.0006193492363487766,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,41.0,12.4968,40.9,12.46632,80.0,299.81666666666666,0.1,0.03048,FAC001,1
Q0001358,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_31766313_30371312_11040814,4835311,GALVESTON BAY REFINERY,48167,2,31766313,30371312,11040814,40301021,SO2,-94.936917,29.370361,312002.1301467583,3250578.460050081,0.0,0.7049471069367115,0.020278959218674935,645.6491,18.573154836210488,0.0010918424682024826,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,41.0,12.4968,40.9,12.46632,80.0,299.81666666666666,0.1,0.03048,FAC001,1
Q0001359,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_31766613_30375612_11040514,4835311,GALVESTON BAY REFINERY,48167,2,31766613,30375612,11040514,40301199,SO2,-94.928569,29.368064,312808.3461961748,3250310.469719383,0.0,7.255595954436328,0.20871911242612798,645.6491,18.573154836210488,0.011237676865709761,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,47.4,14.44752,3.0,0.9144,78.0,298.7055555555555,0.1,0.03048,FAC001,1
Q0001360,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_31766713_30401912_11040414,4835311,GALVESTON BAY REFINERY,48167,2,31766713,30401912,11040414,40301021,SO2,-94.928425,29.371939,312829.41795604356,3250739.7065347345,0.0,0.6760896230270215,0.019448826385161926,645.6491,18.573154836210488,0.0010471471624865915,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,42.0,12.8016,41.9,12.77112,80.0,299.81666666666666,0.1,0.03048,FAC001,1
Q0001361,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_31767413_30382312_11039714,4835311,GALVESTON BAY REFINERY,48167,2,31767413,30382312,11039714,40301199,SO2,-94.928592,29.368046999999997,312806.08220467385,3250308.622476906,0.0,7.1236760279920315,0.20492421947292566,645.6491,18.573154836210488,0.011033355468151403,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,48.0,14.630400000000002,3.0,0.9144,78.0,298.7055555555555,0.1,0.03048,FAC001,1
Q0001362,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_31767813_30371112_11039314,4835311,GALVESTON BAY REFINERY,48167,2,31767813,30371112,11039314,40301021,SO2,-94.919972,29.378667,313662.2782295091,3251471.8497941336,0.0,3.640165470322317,0.10471532742742672,645.6491,18.573154836210488,0.005637993563875977,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,47.0,14.3256,46.9,14.29512,80.0,299.81666666666666,0.1,0.03048,FAC001,1
